Cirrus|2008|5|1195|359,995
Cessna|1978|2|7239|42,500
Piper|1978|4|3381|125,000
Wittman W10 Tailwind|1990|2|1068|29,999
Cessna 400|2007|4|1330|369,000
Diamond|2023|4|Delivery Time Only|572,755
Beechcraft|1979|4|3560|265,000
Cessna 172M|1976|4|6419|122,500
Viking Aircraft|2021|2|18|28,495
Cirrus|2015|5|890|760
Piper|1977|4|4221|9,000
Grumman American|1978|4|6038|52,495
Slingsby|1982|2|4901|38,000
Luscombe|1946|2|2257|82,500
Piper|1989|4|15645|95,000
Cessna A185E|1972|4|3050|235,000
55 Baron|1964|4|8350|109,995
Piper|1968|4|5567|59,995
Robin|1981|4|8359|80,000
Mooney|1990|4|2585|199,000
Piper|1957|4|2700|450,000
Cirrus|2011|4|1109|560,000
Piper|1977|4|5160|89,995
Maule|1997|4|1450|95,000
Robin|1970|4|5731|32,995
Grumman American|1978|4|5302|94,995
Piper|1979|4|3510|125,000
Piper|1995|4|3220|165,000
Cessna|1960|4|4387|59,000
Cirrus|2001|4|1667|250,000
Cessna|1967|4|4623|79,000
Piper|1946|2|4000|59,000
Beechcraft|1991|6|6850|285,000
Piper|1978|4|3694|150,000
Extra Aircraft|2008|2|1313|264,000
Pitts|1977|1|Enquire|79,995
Piper|1997|4|2300|189,000
Bellanca|1950|4|3500|57,000
Messerschmitt Bölkow Blohm|1971|2|2460|62,995
Jodel|1962|2|2975|40,000
Piper|1978|6|1560|185,000
Cirrus|2006|4|736|280,000
Cessna 172S Skyhawk SP|2002|4|3977|205,000
Cessna 172N Skyhawk|1979|4|5551|71,000
Cessna 172M|1973|4|6575|60,000
Cessna|1964|4|3305|60,000
Piper|1967|4|7722|950,000
Piper|1978|4|2428|200,000
Bristell|2020|2|36|120,000
Piper|1975|4|5585|250,000
SAAB|1962|4|6000|84,995
Piper|1959|4|3558|98,500
Extra Aircraft|2013|6|550|1,150,000
Cessna|1973|2|0|69,000
V35B Bonanza|1972|5|3392|149,500
Piper|1974|4|5270|87,995
Aero AT 3|2010|2|240|69,500
Piper|1966|4|2331|135,000
Cessna 210L|1976|6|9700|315,000
Veloce Planes|2023|4|0|227,000
Rockwell Commander|1976|4|3804|125,000
Mooney|2016|4|385|649,000
Mooney|1994|4|3455|165,000
Cessna 182|1999|4|987|330,000
Robin|1973|4|2450|74,995
Mooney|2018|4|485|825,000
Mooney|2007|4|1215|319,000
Extra Aircraft|2017|2|165|449,000
Mooney|1989|4|6915|155,000
Just Aircraft|2016|2|150|157,000
Beechcraft|2006|6|2500|799,000
Vans|2020|2|68|145,000
Cessna|1968|2|16750|44,500
Cessna|1975|2|9050|52,000
Piper|1981|6|2117|198,000
Piper|1978|4|3406|83,995
Jabiru|2008|2|1350|400,000
Cessna 206F|1974|6|6450|350,000
Piper|2007|4|1214|455,000
Cessna|1979|2|10998|55,000
Cessna|1979|2|5865|55,000
Cessna|1968|2|12637|45,995
Piper|1977|4|2700|130,000
Piper|1975|4|1775|115,000
Piper|1960|4|3489|150,000
Cessna F172G|1965|4|6278|65,000
Bellanca|1968|2|7917|38,995
Cirrus|2004|4|1960|249,000
Piper|1967|4|4070|78,500
Cessna 182|1966|4|3350|260,000
Aerospool|2007|2|920|134,500
Mooney|1997|4|2288|199,950
Cessna 182T|2016|4|620|520,000
